epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,5857.56,1.41847,0.8205,1.05258,0.78755,0.7401,0.78704,0.45208,1.38057,0.77152,1.05536,0.00101488,0.00101488,0.00101488
21,6157.28,1.42142,0.81764,1.05211,0.7757,0.71756,0.7635,0.43698,1.39573,0.7889,1.06158,0.0010025,0.0010025,0.0010025
22,6465.63,1.4114,0.80291,1.04448,0.82518,0.71231,0.77654,0.44093,1.39482,0.77548,1.05778,0.000990125,0.000990125,0.000990125
23,6789.66,1.40368,0.78555,1.04641,0.82616,0.70251,0.78344,0.44191,1.4149,0.78684,1.06954,0.00097775,0.00097775,0.00097775
24,7064.78,1.39397,0.78344,1.03306,0.8346,0.70771,0.78898,0.45219,1.3878,0.76477,1.06198,0.000965375,0.000965375,0.000965375
25,7361.87,1.38654,0.77525,1.0422,0.8119,0.75302,0.80099,0.46241,1.3683,0.74982,1.05378,0.000953,0.000953,0.000953
26,7634.38,1.39186,0.77808,1.04057,0.78782,0.73158,0.7737,0.43933,1.40589,0.79235,1.07532,0.000940625,0.000940625,0.000940625
27,7930.17,1.3957,0.76531,1.04065,0.82593,0.74193,0.7965,0.45801,1.39071,0.74092,1.05992,0.00092825,0.00092825,0.00092825
28,8207.41,1.3655,0.7515,1.03044,0.78057,0.74698,0.77567,0.44747,1.3723,0.75672,1.05445,0.000915875,0.000915875,0.000915875
29,8472.08,1.3496,0.73275,1.02634,0.78648,0.74548,0.78907,0.44804,1.38762,0.76324,1.0567,0.0009035,0.0009035,0.0009035
30,8774.36,1.35165,0.73595,1.02299,0.79577,0.72811,0.77085,0.43924,1.39058,0.76336,1.06293,0.000891125,0.000891125,0.000891125
31,9086.76,1.35919,0.73226,1.02341,0.8149,0.69286,0.77502,0.4331,1.42537,0.7726,1.08408,0.00087875,0.00087875,0.00087875
32,9407.92,1.35654,0.72623,1.02343,0.80227,0.73146,0.782,0.45106,1.37329,0.74703,1.0632,0.000866375,0.000866375,0.000866375
33,9700.39,1.35009,0.72728,1.01663,0.78722,0.73972,0.77554,0.45101,1.37553,0.74267,1.06983,0.000854,0.000854,0.000854
34,9982.89,1.32931,0.71577,1.01421,0.79674,0.72044,0.77143,0.44355,1.3893,0.74843,1.06936,0.000841625,0.000841625,0.000841625
35,10260.7,1.34736,0.72006,1.01036,0.77005,0.73462,0.77738,0.4473,1.40232,0.75963,1.06982,0.00082925,0.00082925,0.00082925
36,10548,1.32541,0.70506,1.01004,0.78163,0.75192,0.78329,0.44808,1.38267,0.75244,1.06046,0.000816875,0.000816875,0.000816875
37,10798.2,1.31356,0.695,1.0068,0.834,0.7385,0.79906,0.46078,1.38435,0.75555,1.05996,0.0008045,0.0008045,0.0008045
38,11086.7,1.32382,0.7029,1.0107,0.80316,0.7341,0.78036,0.45063,1.39642,0.75444,1.07089,0.000792125,0.000792125,0.000792125
39,11345.7,1.29788,0.67933,1.00089,0.76624,0.75434,0.78755,0.45074,1.39564,0.75096,1.06901,0.00077975,0.00077975,0.00077975
40,11669.3,1.29371,0.67449,0.9944,0.79564,0.72189,0.77084,0.44623,1.38094,0.75269,1.06357,0.000767375,0.000767375,0.000767375
