epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6575,2.22494,3.3952,1.34213,0.08096,0.33537,0.2067,0.09266,1.75625,3.40439,1.13042,0.000409226,0.000409226,0.000409226
2,27.0422,1.88905,1.68797,1.18375,0.58654,0.47852,0.53914,0.27239,1.63608,1.72626,1.12967,0.000817717,0.000817717,0.000817717
3,35.3981,1.79575,1.44079,1.15897,0.67911,0.57135,0.62728,0.32416,1.56836,1.18714,1.10784,0.00121796,0.00121796,0.00121796
4,43.6886,1.76028,1.35906,1.1474,0.65662,0.55118,0.60936,0.31926,1.54104,1.17593,1.10122,0.00121287,0.00121287,0.00121287
5,51.8317,1.71236,1.26719,1.13573,0.55741,0.60735,0.61553,0.31601,1.56361,1.1096,1.11391,0.0012005,0.0012005,0.0012005
6,60.0518,1.71509,1.24938,1.13004,0.6276,0.61484,0.62958,0.32587,1.57331,1.07928,1.08167,0.00118812,0.00118812,0.00118812
7,68.1963,1.68115,1.20257,1.12383,0.64749,0.63057,0.6598,0.35188,1.54329,1.02499,1.07879,0.00117575,0.00117575,0.00117575
8,76.1405,1.66186,1.17855,1.12665,0.63823,0.68183,0.68535,0.3724,1.49833,0.96902,1.07231,0.00116337,0.00116337,0.00116337
9,84.3833,1.66904,1.16751,1.11413,0.70328,0.67886,0.70953,0.3835,1.49505,0.95314,1.06849,0.001151,0.001151,0.001151
10,92.4168,1.65043,1.15171,1.11397,0.68388,0.65633,0.68216,0.36935,1.51551,0.96446,1.07512,0.00113863,0.00113863,0.00113863
11,100.69,1.63113,1.11171,1.10387,0.71747,0.60433,0.66492,0.35091,1.52932,1.0371,1.07563,0.00112625,0.00112625,0.00112625
12,108.992,1.62192,1.09933,1.09837,0.72635,0.6109,0.67492,0.34647,1.54515,1.0101,1.07672,0.00111388,0.00111388,0.00111388
13,116.939,1.62614,1.08104,1.09982,0.73033,0.62645,0.68803,0.37368,1.48284,0.96422,1.0586,0.0011015,0.0011015,0.0011015
14,124.795,1.61409,1.0828,1.10036,0.71488,0.67493,0.71468,0.39595,1.44569,0.92941,1.05401,0.00108913,0.00108913,0.00108913
15,132.96,1.62216,1.07206,1.09879,0.70148,0.69711,0.72681,0.39569,1.45666,0.91076,1.05417,0.00107675,0.00107675,0.00107675
