epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2747,2.01245,2.05379,1.36848,0.61909,0.5558,0.57265,0.29504,1.57254,1.16623,1.12311,0.000409226,0.000409226,0.000409226
2,32.7561,1.69333,1.2376,1.16097,0.62443,0.63759,0.64183,0.33766,1.51162,1.09627,1.1117,0.000817717,0.000817717,0.000817717
3,44.168,1.66544,1.15324,1.13919,0.58599,0.63563,0.63909,0.35059,1.46659,1.10644,1.07676,0.00121796,0.00121796,0.00121796
4,55.468,1.64052,1.1247,1.12522,0.62528,0.61252,0.63252,0.35363,1.46457,1.02261,1.08048,0.00121287,0.00121287,0.00121287
5,66.7735,1.62122,1.06355,1.12016,0.70158,0.62228,0.67177,0.34205,1.55415,0.98173,1.10788,0.0012005,0.0012005,0.0012005
6,78.3389,1.61839,1.04642,1.11183,0.71925,0.66499,0.70679,0.39384,1.45576,0.8991,1.05177,0.00118812,0.00118812,0.00118812
7,89.6288,1.59326,1.01743,1.10595,0.69345,0.64077,0.66938,0.36592,1.49081,0.947,1.07059,0.00117575,0.00117575,0.00117575
8,100.526,1.56425,1.008,1.10444,0.70226,0.68968,0.70559,0.39434,1.45127,0.8757,1.05444,0.00116337,0.00116337,0.00116337
9,111.827,1.57821,0.99775,1.09506,0.73933,0.6773,0.72487,0.38628,1.49972,0.89762,1.06842,0.001151,0.001151,0.001151
10,123.051,1.54939,0.97219,1.09003,0.75021,0.68903,0.74311,0.40312,1.4617,0.87147,1.06891,0.00113863,0.00113863,0.00113863
11,134.336,1.53999,0.94682,1.08137,0.70966,0.6906,0.73722,0.40462,1.44326,0.87417,1.05043,0.00112625,0.00112625,0.00112625
12,145.615,1.51938,0.93699,1.07428,0.78784,0.70026,0.75037,0.41603,1.44178,0.84139,1.0586,0.00111388,0.00111388,0.00111388
13,156.692,1.53125,0.927,1.07438,0.79918,0.69163,0.761,0.42065,1.42111,0.83166,1.04566,0.0011015,0.0011015,0.0011015
14,167.615,1.51695,0.93347,1.07589,0.74348,0.66549,0.72991,0.40317,1.4271,0.88687,1.05348,0.00108913,0.00108913,0.00108913
15,178.963,1.51254,0.92267,1.06966,0.75314,0.73412,0.76377,0.42068,1.44783,0.82841,1.0564,0.00107675,0.00107675,0.00107675
16,190.26,1.49092,0.89315,1.06243,0.73142,0.71601,0.74844,0.41193,1.44055,0.84366,1.05139,0.00106437,0.00106437,0.00106437
17,201.487,1.49477,0.8897,1.06121,0.77972,0.71342,0.76978,0.41891,1.43024,0.85173,1.04818,0.001052,0.001052,0.001052
18,212.595,1.47394,0.87334,1.05712,0.77021,0.7108,0.76288,0.42715,1.41769,0.80463,1.04669,0.00103962,0.00103962,0.00103962
19,223.939,1.48316,0.88261,1.06097,0.75248,0.72507,0.76217,0.41913,1.44254,0.81306,1.05521,0.00102725,0.00102725,0.00102725
20,234.94,1.48008,0.88086,1.05718,0.73805,0.71541,0.75011,0.41596,1.44562,0.81337,1.05533,0.00101488,0.00101488,0.00101488
21,246.283,1.46821,0.86231,1.04962,0.75951,0.68531,0.74549,0.41499,1.42036,0.8604,1.05011,0.0010025,0.0010025,0.0010025
22,257.492,1.46186,0.85654,1.0454,0.78297,0.7149,0.76371,0.43294,1.38395,0.7964,1.03667,0.000990125,0.000990125,0.000990125
23,268.93,1.45759,0.84034,1.04748,0.75128,0.72722,0.76037,0.41759,1.44682,0.81427,1.05501,0.00097775,0.00097775,0.00097775
24,280.118,1.44653,0.83541,1.03606,0.78687,0.71085,0.75233,0.42173,1.42008,0.81152,1.04599,0.000965375,0.000965375,0.000965375
25,291.099,1.43974,0.82826,1.04228,0.78098,0.71916,0.76236,0.42998,1.40526,0.81725,1.03933,0.000953,0.000953,0.000953
26,302.429,1.44558,0.83357,1.04191,0.75524,0.7027,0.75028,0.41788,1.43834,0.82068,1.05424,0.000940625,0.000940625,0.000940625
27,313.626,1.44737,0.81639,1.04269,0.76488,0.72838,0.7745,0.43768,1.41178,0.77823,1.04073,0.00092825,0.00092825,0.00092825
28,324.949,1.4269,0.80812,1.03483,0.77716,0.71049,0.75754,0.42886,1.42361,0.7946,1.04735,0.000915875,0.000915875,0.000915875
29,336.086,1.40241,0.78673,1.02803,0.7583,0.72272,0.76195,0.42016,1.44152,0.81679,1.05898,0.0009035,0.0009035,0.0009035
30,347.253,1.41216,0.791,1.02625,0.78565,0.70002,0.75772,0.42452,1.43872,0.8032,1.05374,0.000891125,0.000891125,0.000891125
31,358.695,1.41612,0.78424,1.02355,0.76761,0.71088,0.75552,0.42749,1.41332,0.80569,1.04448,0.00087875,0.00087875,0.00087875
32,370,1.41718,0.78834,1.02718,0.79144,0.69781,0.75837,0.42326,1.41538,0.79645,1.0518,0.000866375,0.000866375,0.000866375
33,381.422,1.40915,0.78366,1.02122,0.75696,0.72357,0.76316,0.42793,1.40326,0.78364,1.04591,0.000854,0.000854,0.000854
34,392.626,1.39527,0.77682,1.01958,0.73152,0.72555,0.75426,0.41877,1.43621,0.81232,1.057,0.000841625,0.000841625,0.000841625
35,403.774,1.41355,0.78388,1.01881,0.75156,0.7145,0.75937,0.42653,1.40474,0.78715,1.04193,0.00082925,0.00082925,0.00082925
36,414.881,1.39029,0.76631,1.01588,0.7725,0.73232,0.78109,0.43442,1.40989,0.79306,1.04573,0.000816875,0.000816875,0.000816875
37,425.979,1.38166,0.75852,1.01375,0.81014,0.71758,0.77832,0.43429,1.43291,0.76784,1.05192,0.0008045,0.0008045,0.0008045
38,437.494,1.38209,0.75933,1.01577,0.77488,0.72264,0.76734,0.42713,1.42103,0.80642,1.05298,0.000792125,0.000792125,0.000792125
39,448.577,1.36208,0.74416,1.0081,0.74299,0.7365,0.75615,0.42692,1.42908,0.7948,1.05867,0.00077975,0.00077975,0.00077975
40,460.048,1.36705,0.73993,1.00508,0.79341,0.71207,0.77177,0.43302,1.41999,0.77707,1.05444,0.000767375,0.000767375,0.000767375
41,471.246,1.34947,0.7312,1.00361,0.79591,0.70099,0.76682,0.4292,1.42904,0.77683,1.05498,0.000755,0.000755,0.000755
42,482.577,1.34779,0.71974,1.00146,0.77289,0.72447,0.76358,0.43199,1.42606,0.79198,1.05612,0.000742625,0.000742625,0.000742625
43,493.818,1.33419,0.71749,0.99723,0.76925,0.71993,0.7552,0.41382,1.45374,0.80007,1.0591,0.00073025,0.00073025,0.00073025
44,505.084,1.35343,0.72481,0.99945,0.76104,0.73849,0.76609,0.42964,1.42992,0.78055,1.0569,0.000717875,0.000717875,0.000717875
45,516.272,1.3312,0.71278,0.99724,0.78058,0.72419,0.76444,0.4241,1.42321,0.78766,1.0527,0.0007055,0.0007055,0.0007055
46,527.633,1.32685,0.70024,0.99614,0.77442,0.72898,0.76891,0.43237,1.43323,0.76604,1.06328,0.000693125,0.000693125,0.000693125
47,538.882,1.33345,0.70404,0.99552,0.77543,0.72195,0.75612,0.42658,1.43048,0.76954,1.06002,0.00068075,0.00068075,0.00068075
48,550.187,1.32025,0.69577,0.98928,0.76458,0.73288,0.76394,0.42544,1.45118,0.77697,1.05982,0.000668375,0.000668375,0.000668375
49,561.826,1.31996,0.68999,0.98711,0.77911,0.73328,0.77107,0.43222,1.42491,0.77711,1.05744,0.000656,0.000656,0.000656
50,573.014,1.29542,0.68211,0.98319,0.76695,0.72407,0.76364,0.4282,1.42742,0.78019,1.05602,0.000643625,0.000643625,0.000643625
51,584.342,1.2971,0.6878,0.98061,0.76537,0.72203,0.75997,0.42699,1.43982,0.78493,1.06161,0.00063125,0.00063125,0.00063125
52,595.355,1.2914,0.67668,0.98518,0.79501,0.71491,0.76528,0.42027,1.44854,0.77333,1.07163,0.000618875,0.000618875,0.000618875
53,606.603,1.28043,0.67726,0.97651,0.77943,0.72468,0.76061,0.42521,1.43414,0.77568,1.06128,0.0006065,0.0006065,0.0006065
54,617.872,1.2729,0.66257,0.97854,0.74756,0.73635,0.76038,0.42321,1.43407,0.76968,1.05914,0.000594125,0.000594125,0.000594125
55,628.964,1.28245,0.673,0.97917,0.75513,0.71123,0.74973,0.41647,1.44494,0.79157,1.07146,0.00058175,0.00058175,0.00058175
56,640.249,1.2761,0.66375,0.97698,0.72839,0.72558,0.75181,0.42077,1.43692,0.78306,1.06937,0.000569375,0.000569375,0.000569375
57,651.662,1.27368,0.66439,0.97193,0.79498,0.7196,0.76739,0.43243,1.4285,0.77438,1.0608,0.000557,0.000557,0.000557
58,662.825,1.2588,0.65208,0.96941,0.79911,0.72763,0.77131,0.43046,1.43238,0.77083,1.06901,0.000544625,0.000544625,0.000544625
59,674.238,1.25543,0.65038,0.96865,0.76878,0.69593,0.73674,0.40589,1.46632,0.78997,1.0814,0.00053225,0.00053225,0.00053225
60,685.339,1.25898,0.65224,0.97043,0.7474,0.73373,0.75782,0.42197,1.43816,0.79291,1.06906,0.000519875,0.000519875,0.000519875
61,696.887,1.23779,0.649,0.96562,0.75638,0.74207,0.75907,0.42818,1.43958,0.75827,1.07023,0.0005075,0.0005075,0.0005075
62,707.779,1.24798,0.64944,0.96536,0.75855,0.73553,0.76134,0.42459,1.44098,0.77834,1.0641,0.000495125,0.000495125,0.000495125
63,719.074,1.24244,0.63842,0.96942,0.75447,0.73402,0.76022,0.42437,1.44008,0.77785,1.07332,0.00048275,0.00048275,0.00048275
64,730.061,1.21791,0.62703,0.95758,0.81212,0.71735,0.76644,0.43175,1.42587,0.77329,1.06552,0.000470375,0.000470375,0.000470375
65,741.356,1.22919,0.63272,0.96014,0.80523,0.71224,0.75983,0.42252,1.44735,0.77576,1.07853,0.000458,0.000458,0.000458
66,752.854,1.2205,0.63013,0.95823,0.77761,0.73361,0.76588,0.42811,1.42936,0.75982,1.0689,0.000445625,0.000445625,0.000445625
67,763.902,1.21237,0.6242,0.95451,0.76402,0.71319,0.74985,0.42132,1.4379,0.78124,1.0744,0.00043325,0.00043325,0.00043325
68,775.3,1.21954,0.62438,0.95552,0.79482,0.73419,0.77473,0.43402,1.42286,0.76161,1.07075,0.000420875,0.000420875,0.000420875
69,786.506,1.19686,0.61271,0.95153,0.7999,0.69746,0.75307,0.41919,1.44979,0.78493,1.07965,0.0004085,0.0004085,0.0004085
70,797.67,1.20363,0.61529,0.95111,0.75553,0.71651,0.74815,0.41589,1.46164,0.76974,1.0839,0.000396125,0.000396125,0.000396125
71,808.599,1.18342,0.60687,0.95252,0.76422,0.73213,0.75674,0.43029,1.43334,0.76945,1.07436,0.00038375,0.00038375,0.00038375
72,819.712,1.19045,0.60719,0.94781,0.77994,0.73641,0.76295,0.42696,1.43459,0.77719,1.06973,0.000371375,0.000371375,0.000371375
73,830.978,1.19316,0.6103,0.95114,0.76817,0.72492,0.75971,0.42453,1.43866,0.76963,1.0715,0.000359,0.000359,0.000359
74,842.21,1.17734,0.59999,0.94698,0.76628,0.71295,0.74595,0.41869,1.44341,0.78687,1.07677,0.000346625,0.000346625,0.000346625
75,853.406,1.17191,0.60161,0.94242,0.77252,0.71976,0.75576,0.42179,1.44422,0.77259,1.07523,0.00033425,0.00033425,0.00033425
76,864.468,1.17075,0.59717,0.93848,0.77167,0.71855,0.7517,0.42043,1.44495,0.77552,1.07512,0.000321875,0.000321875,0.000321875
77,875.9,1.16217,0.59085,0.9418,0.79847,0.71948,0.76347,0.42737,1.45004,0.77979,1.07487,0.0003095,0.0003095,0.0003095
78,887.284,1.1598,0.58346,0.94044,0.7947,0.71961,0.76333,0.42766,1.44423,0.76871,1.07742,0.000297125,0.000297125,0.000297125
79,898.533,1.1665,0.59089,0.94092,0.83258,0.6949,0.76483,0.42261,1.44993,0.77151,1.07921,0.00028475,0.00028475,0.00028475
80,909.997,1.15465,0.58492,0.93666,0.74316,0.72856,0.75546,0.4234,1.44108,0.7875,1.07839,0.000272375,0.000272375,0.000272375
81,921.27,1.13261,0.57421,0.93546,0.77584,0.72395,0.75418,0.42513,1.43436,0.77666,1.0784,0.00026,0.00026,0.00026
82,932.68,1.13984,0.57251,0.93521,0.81385,0.71353,0.76145,0.42762,1.44416,0.76892,1.0828,0.000247625,0.000247625,0.000247625
83,944.205,1.1456,0.58179,0.93681,0.78444,0.72199,0.76127,0.42897,1.43548,0.76999,1.07577,0.00023525,0.00023525,0.00023525
84,955.31,1.14927,0.58299,0.93297,0.79463,0.71385,0.75785,0.42526,1.45001,0.76397,1.08219,0.000222875,0.000222875,0.000222875
85,966.64,1.14111,0.578,0.93236,0.83035,0.69876,0.75517,0.4235,1.44134,0.77091,1.07306,0.0002105,0.0002105,0.0002105
86,977.817,1.12153,0.5706,0.92736,0.78085,0.71602,0.7574,0.42481,1.44328,0.76743,1.08006,0.000198125,0.000198125,0.000198125
87,989.145,1.13548,0.57658,0.92881,0.76173,0.73055,0.75639,0.4238,1.4408,0.77602,1.0817,0.00018575,0.00018575,0.00018575
88,1000.57,1.12242,0.5693,0.92575,0.76346,0.74272,0.75927,0.42718,1.43969,0.76517,1.08328,0.000173375,0.000173375,0.000173375
89,1011.76,1.10277,0.55723,0.92543,0.82626,0.69664,0.75342,0.42636,1.439,0.76212,1.08125,0.000161,0.000161,0.000161
90,1022.76,1.1,0.55719,0.92226,0.78739,0.70848,0.75021,0.42362,1.44481,0.77213,1.08564,0.000148625,0.000148625,0.000148625
91,1035.47,1.08337,0.54328,0.92525,0.79413,0.70679,0.74673,0.41757,1.45564,0.78158,1.09435,0.00013625,0.00013625,0.00013625
92,1046.23,1.06104,0.52539,0.91866,0.77424,0.71654,0.74375,0.41545,1.46219,0.78549,1.10024,0.000123875,0.000123875,0.000123875
93,1056.8,1.0769,0.53735,0.92045,0.76596,0.72603,0.75239,0.4197,1.45735,0.77906,1.09827,0.0001115,0.0001115,0.0001115
94,1067.45,1.03278,0.50747,0.91252,0.78678,0.72394,0.75328,0.42083,1.45887,0.77026,1.0993,9.9125e-05,9.9125e-05,9.9125e-05
95,1078.12,1.0509,0.51949,0.91556,0.78056,0.71756,0.74826,0.41922,1.45502,0.77758,1.09419,8.675e-05,8.675e-05,8.675e-05
96,1088.67,1.03329,0.51128,0.91621,0.79337,0.7142,0.7511,0.42124,1.45234,0.77714,1.0922,7.4375e-05,7.4375e-05,7.4375e-05
97,1099.17,1.04429,0.51692,0.91457,0.80436,0.70948,0.75505,0.42242,1.45015,0.77299,1.09252,6.2e-05,6.2e-05,6.2e-05
98,1109.7,1.01884,0.50534,0.91249,0.79965,0.71767,0.75455,0.42156,1.45146,0.77171,1.09428,4.9625e-05,4.9625e-05,4.9625e-05
99,1120.45,1.01741,0.50222,0.91081,0.80783,0.70511,0.75023,0.41792,1.46177,0.77645,1.09953,3.725e-05,3.725e-05,3.725e-05
100,1131.1,1.01118,0.49875,0.90989,0.80676,0.71248,0.75572,0.42309,1.44736,0.771,1.09399,2.4875e-05,2.4875e-05,2.4875e-05
