epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1739,1.70959,1.49958,1.30295,0.6121,0.65828,0.67035,0.3503,1.59749,1.01022,1.18737,0.000414798,0.000414798,0.000414798
2,97.4554,1.55853,1.11859,1.22169,0.61377,0.60657,0.6151,0.33503,1.52659,1.014,1.18236,0.000815002,0.000815002,0.000815002
3,140.023,1.49693,1.03043,1.19363,0.71926,0.66955,0.71294,0.37906,1.57277,0.91753,1.18324,0.00119871,0.00119871,0.00119871
4,181.933,1.45945,0.95577,1.16806,0.74212,0.64809,0.71238,0.37979,1.5827,0.93192,1.17027,0.00117575,0.00117575,0.00117575
5,223.671,1.39743,0.87716,1.12907,0.70746,0.71585,0.73427,0.39545,1.51717,0.8425,1.15369,0.001151,0.001151,0.001151
6,265.994,1.35393,0.81605,1.11254,0.71323,0.70577,0.73265,0.40367,1.52599,0.85159,1.14983,0.00112625,0.00112625,0.00112625
7,307.874,1.28225,0.76552,1.0887,0.7659,0.70576,0.74535,0.40283,1.52131,0.84297,1.16614,0.0011015,0.0011015,0.0011015
8,350.101,1.24485,0.72264,1.06902,0.75092,0.69609,0.71911,0.39764,1.50789,0.82935,1.16145,0.00107675,0.00107675,0.00107675
9,392.641,1.19875,0.67911,1.04534,0.72119,0.72163,0.73016,0.38708,1.55855,0.85061,1.16859,0.001052,0.001052,0.001052
10,435.48,1.14726,0.64559,1.02368,0.73486,0.71597,0.72594,0.39084,1.54796,0.82214,1.18363,0.00102725,0.00102725,0.00102725
11,477.807,1.10025,0.60803,1.00146,0.77514,0.711,0.7302,0.39451,1.55421,0.82897,1.18242,0.0010025,0.0010025,0.0010025
12,520.129,1.05977,0.58199,0.98615,0.76361,0.72073,0.73841,0.40566,1.53686,0.81735,1.19114,0.00097775,0.00097775,0.00097775
13,561.644,1.0045,0.55308,0.96075,0.78622,0.69429,0.7358,0.39958,1.5456,0.84648,1.18824,0.000953,0.000953,0.000953
14,603.501,0.96659,0.52484,0.94657,0.76071,0.70837,0.72877,0.39725,1.54991,0.84664,1.19346,0.00092825,0.00092825,0.00092825
15,646.589,0.91566,0.49062,0.92833,0.77742,0.70584,0.73828,0.40007,1.55186,0.82825,1.20651,0.0009035,0.0009035,0.0009035
16,689.141,0.86293,0.46745,0.91238,0.7152,0.73063,0.72153,0.38772,1.54984,0.84491,1.21577,0.00087875,0.00087875,0.00087875
17,731.863,0.82574,0.44971,0.89922,0.75087,0.71237,0.72403,0.38633,1.57175,0.84285,1.23283,0.000854,0.000854,0.000854
18,773.397,0.78961,0.43096,0.88703,0.79688,0.68675,0.73317,0.38669,1.58056,0.85742,1.22805,0.00082925,0.00082925,0.00082925
19,814.966,0.75988,0.41341,0.87648,0.77187,0.70704,0.73076,0.39227,1.57606,0.8458,1.24772,0.0008045,0.0008045,0.0008045
20,857.377,0.72084,0.39355,0.86628,0.72836,0.72168,0.7193,0.3866,1.58112,0.86152,1.25651,0.00077975,0.00077975,0.00077975
21,900.227,0.69606,0.38347,0.85777,0.75859,0.69852,0.72827,0.39458,1.57461,0.85197,1.26247,0.000755,0.000755,0.000755
22,941.977,0.65092,0.36466,0.84722,0.72223,0.72184,0.72266,0.38731,1.5863,0.85899,1.26769,0.00073025,0.00073025,0.00073025
23,983.98,0.6288,0.3495,0.84089,0.76839,0.68388,0.71699,0.38705,1.58553,0.86927,1.27661,0.0007055,0.0007055,0.0007055
24,1026.51,0.58913,0.33278,0.83065,0.74524,0.68877,0.70962,0.38589,1.59335,0.89012,1.28911,0.00068075,0.00068075,0.00068075
25,1068.81,0.57415,0.3221,0.82587,0.73952,0.69882,0.71502,0.38835,1.58233,0.89087,1.28082,0.000656,0.000656,0.000656
26,1111.02,0.536,0.30859,0.81841,0.75557,0.68714,0.71664,0.39061,1.59834,0.88341,1.30848,0.00063125,0.00063125,0.00063125
27,1152.94,0.52624,0.30297,0.8159,0.7974,0.65715,0.71738,0.39076,1.5883,0.89903,1.30504,0.0006065,0.0006065,0.0006065
28,1195.38,0.50841,0.29363,0.8113,0.81789,0.65724,0.725,0.392,1.58379,0.89993,1.31876,0.00058175,0.00058175,0.00058175
29,1237.49,0.47855,0.28171,0.80608,0.72123,0.70853,0.7123,0.38556,1.60376,0.90853,1.33629,0.000557,0.000557,0.000557
30,1279.67,0.46112,0.27257,0.8024,0.77566,0.68053,0.7261,0.39353,1.58891,0.90106,1.32556,0.00053225,0.00053225,0.00053225
31,1322.35,0.44226,0.26406,0.79947,0.75861,0.68618,0.73362,0.40129,1.59069,0.908,1.33607,0.0005075,0.0005075,0.0005075
32,1364.35,0.42949,0.25866,0.79581,0.75587,0.67943,0.72334,0.39651,1.58092,0.90726,1.32414,0.00048275,0.00048275,0.00048275
33,1406.1,0.41796,0.2533,0.79458,0.73836,0.69521,0.71754,0.3869,1.59329,0.90686,1.32542,0.000458,0.000458,0.000458
34,1448.45,0.39659,0.244,0.78997,0.74889,0.68809,0.72205,0.39298,1.59293,0.91453,1.34821,0.00043325,0.00043325,0.00043325
35,1490.76,0.38912,0.23934,0.78896,0.76602,0.67504,0.73052,0.39545,1.58967,0.92552,1.34919,0.0004085,0.0004085,0.0004085
36,1532.94,0.3723,0.23212,0.78664,0.768,0.68016,0.72551,0.39709,1.58493,0.92242,1.35257,0.00038375,0.00038375,0.00038375
37,1574.79,0.35472,0.22372,0.7835,0.79469,0.65716,0.72162,0.39488,1.58894,0.92782,1.36242,0.000359,0.000359,0.000359
38,1617.33,0.35022,0.22113,0.78299,0.72539,0.69039,0.71516,0.39232,1.57802,0.92711,1.34777,0.00033425,0.00033425,0.00033425
39,1659.83,0.32813,0.21156,0.78008,0.73342,0.7064,0.72618,0.39577,1.5834,0.91341,1.36783,0.0003095,0.0003095,0.0003095
40,1701.86,0.31332,0.20542,0.77827,0.75608,0.6777,0.72525,0.40162,1.57017,0.94326,1.36136,0.00028475,0.00028475,0.00028475
41,1744.76,0.30823,0.20182,0.77746,0.78019,0.66456,0.72024,0.39697,1.58182,0.94959,1.36606,0.00026,0.00026,0.00026
42,1787.56,0.28412,0.19206,0.77456,0.7225,0.70096,0.72386,0.39738,1.57191,0.95502,1.35941,0.00023525,0.00023525,0.00023525
43,1830.63,0.27518,0.18758,0.77354,0.73669,0.69463,0.72669,0.3999,1.57616,0.95385,1.37279,0.0002105,0.0002105,0.0002105
44,1873.13,0.27376,0.1864,0.77385,0.76521,0.68092,0.72504,0.39572,1.58159,0.95,1.37504,0.00018575,0.00018575,0.00018575
45,1915.1,0.26423,0.18155,0.7729,0.75071,0.68496,0.72335,0.39884,1.57553,0.95571,1.37957,0.000161,0.000161,0.000161
46,1957.42,0.262,0.18053,0.77286,0.76623,0.66914,0.72062,0.39652,1.57575,0.94671,1.38485,0.00013625,0.00013625,0.00013625
47,1998.86,0.25157,0.17607,0.77134,0.73313,0.68746,0.72147,0.3981,1.57174,0.96073,1.38678,0.0001115,0.0001115,0.0001115
48,2039.67,0.24442,0.17165,0.77091,0.79382,0.66442,0.72831,0.40015,1.57161,0.95801,1.3819,8.675e-05,8.675e-05,8.675e-05
49,2081.82,0.23429,0.16677,0.76975,0.75511,0.68388,0.72662,0.39887,1.5693,0.9675,1.38386,6.2e-05,6.2e-05,6.2e-05
50,2123.6,0.22661,0.16322,0.7691,0.74507,0.68698,0.72674,0.39859,1.57249,0.97597,1.39424,3.725e-05,3.725e-05,3.725e-05
