epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7945,1.74426,1.60288,1.26494,0.64197,0.64339,0.64547,0.33452,1.19335,0.80728,0.8447,0.000412946,0.000412946,0.000412946
2,56.6477,1.53801,1.08613,1.13723,0.73244,0.68112,0.70153,0.36431,1.2019,0.77212,0.86134,0.000813187,0.000813187,0.000813187
3,79.8841,1.48253,1.00694,1.11056,0.66591,0.62827,0.6553,0.33581,1.25094,0.85745,0.86231,0.00119693,0.00119693,0.00119693
4,103.118,1.44393,0.94423,1.09085,0.77141,0.68346,0.71719,0.38225,1.17437,0.72033,0.82702,0.00117575,0.00117575,0.00117575
5,126.278,1.36405,0.84053,1.04773,0.67827,0.66309,0.66379,0.34254,1.225,0.70786,0.84662,0.001151,0.001151,0.001151
6,149.543,1.32711,0.78736,1.03491,0.7566,0.68733,0.72246,0.39797,1.11599,0.64271,0.81284,0.00112625,0.00112625,0.00112625
7,172.752,1.26945,0.74845,1.01471,0.75449,0.72002,0.73437,0.39352,1.15735,0.64532,0.82031,0.0011015,0.0011015,0.0011015
8,195.661,1.20954,0.69115,0.99109,0.73796,0.69025,0.71669,0.38513,1.16647,0.6449,0.83202,0.00107675,0.00107675,0.00107675
9,218.803,1.15924,0.65365,0.9717,0.72731,0.69872,0.71003,0.37783,1.16666,0.65131,0.8336,0.001052,0.001052,0.001052
10,241.954,1.10285,0.61,0.95071,0.73512,0.73682,0.73754,0.39959,1.15292,0.61072,0.83593,0.00102725,0.00102725,0.00102725
11,265.124,1.04662,0.58284,0.93022,0.77775,0.7042,0.7241,0.38703,1.17829,0.63771,0.84173,0.0010025,0.0010025,0.0010025
12,288.131,0.9883,0.54664,0.9132,0.7176,0.7156,0.72379,0.39384,1.15758,0.6241,0.84223,0.00097775,0.00097775,0.00097775
13,311.268,0.94983,0.52483,0.90072,0.77585,0.67282,0.71532,0.38424,1.17141,0.64086,0.85171,0.000953,0.000953,0.000953
14,335.827,0.90435,0.49698,0.88851,0.75092,0.68631,0.7156,0.38373,1.17997,0.63793,0.85571,0.00092825,0.00092825,0.00092825
15,362.057,0.85551,0.47695,0.8745,0.75114,0.68651,0.7154,0.38762,1.16898,0.63622,0.85666,0.0009035,0.0009035,0.0009035
16,386.041,0.81241,0.44801,0.86554,0.79378,0.65209,0.70527,0.37936,1.17171,0.63672,0.85715,0.00087875,0.00087875,0.00087875
17,410.603,0.76697,0.42407,0.85333,0.77988,0.68097,0.72284,0.39158,1.18709,0.64816,0.85907,0.000854,0.000854,0.000854
18,433.751,0.73728,0.41112,0.84472,0.80204,0.68776,0.72625,0.39146,1.17919,0.63168,0.86639,0.00082925,0.00082925,0.00082925
19,456.984,0.6928,0.39157,0.83564,0.75176,0.69233,0.71549,0.38401,1.18562,0.65529,0.87318,0.0008045,0.0008045,0.0008045
20,479.833,0.66675,0.3781,0.83043,0.74374,0.69288,0.72045,0.39056,1.1711,0.65544,0.8636,0.00077975,0.00077975,0.00077975
21,502.997,0.6141,0.35357,0.82029,0.77686,0.67264,0.72771,0.3914,1.18355,0.65313,0.87857,0.000755,0.000755,0.000755
22,526.096,0.5911,0.34345,0.81558,0.77426,0.67991,0.71797,0.38876,1.18846,0.66958,0.88517,0.00073025,0.00073025,0.00073025
23,549.187,0.56954,0.33178,0.81097,0.8003,0.66371,0.72174,0.39521,1.18125,0.6695,0.88391,0.0007055,0.0007055,0.0007055
24,572.196,0.54709,0.32274,0.80739,0.73216,0.70231,0.71446,0.38718,1.19131,0.66267,0.89155,0.00068075,0.00068075,0.00068075
25,595.352,0.52238,0.30945,0.80232,0.72002,0.70694,0.7284,0.39445,1.1816,0.66775,0.89006,0.000656,0.000656,0.000656
26,618.455,0.4929,0.29845,0.79806,0.80833,0.66788,0.72743,0.39825,1.1796,0.66894,0.88837,0.00063125,0.00063125,0.00063125
27,641.639,0.46005,0.28451,0.79326,0.78328,0.6719,0.72683,0.39618,1.17528,0.67794,0.89076,0.0006065,0.0006065,0.0006065
28,664.56,0.45278,0.28034,0.79143,0.78061,0.67765,0.72552,0.39619,1.17783,0.68097,0.89281,0.00058175,0.00058175,0.00058175
29,687.632,0.43645,0.27421,0.78948,0.7273,0.70604,0.7217,0.39418,1.17588,0.67558,0.89698,0.000557,0.000557,0.000557
30,710.5,0.43134,0.26939,0.78856,0.74389,0.67878,0.71475,0.39413,1.1771,0.67777,0.89689,0.00053225,0.00053225,0.00053225
31,733.677,0.41006,0.2603,0.78531,0.77514,0.66249,0.71278,0.39598,1.1768,0.68542,0.9006,0.0005075,0.0005075,0.0005075
