epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8223,2.10319,3.07994,1.3281,0.85706,0.20203,0.35407,0.18543,1.7202,2.73592,1.09892,0.000411111,0.000411111,0.000411111
2,29.4719,1.75188,1.5203,1.14474,0.58808,0.52583,0.56438,0.28485,1.61859,1.29883,1.09835,0.000811388,0.000811388,0.000811388
3,38.7874,1.63427,1.32739,1.11697,0.58431,0.60114,0.60422,0.30249,1.66958,1.15769,1.09628,0.00119516,0.00119516,0.00119516
4,48.0518,1.56504,1.19873,1.09485,0.66317,0.68558,0.68077,0.35899,1.56053,1.03102,1.06599,0.00117575,0.00117575,0.00117575
5,57.3822,1.52491,1.10741,1.07239,0.65585,0.63965,0.65828,0.34017,1.58997,1.03839,1.07368,0.001151,0.001151,0.001151
6,66.5069,1.48967,1.05412,1.05977,0.72557,0.65962,0.69977,0.365,1.56666,0.98226,1.06738,0.00112625,0.00112625,0.00112625
7,75.6676,1.4359,0.98888,1.04324,0.6181,0.64108,0.60864,0.32658,1.59579,1.03795,1.08387,0.0011015,0.0011015,0.0011015
8,84.9287,1.38812,0.93659,1.02372,0.70598,0.68097,0.69755,0.36941,1.55727,0.95994,1.06986,0.00107675,0.00107675,0.00107675
9,93.8366,1.36912,0.91699,1.01726,0.68915,0.66153,0.67553,0.34986,1.59141,0.9928,1.08732,0.001052,0.001052,0.001052
10,103.009,1.33063,0.87057,1.00283,0.66919,0.65603,0.65897,0.34509,1.59114,0.97573,1.0879,0.00102725,0.00102725,0.00102725
11,112.039,1.30317,0.83919,0.98977,0.70138,0.64627,0.68178,0.35285,1.5796,0.96082,1.08277,0.0010025,0.0010025,0.0010025
12,121.862,1.26558,0.80326,0.97908,0.69834,0.68673,0.6947,0.36136,1.59179,0.93755,1.08807,0.00097775,0.00097775,0.00097775
13,131.089,1.24812,0.78814,0.96938,0.72261,0.65269,0.67158,0.35062,1.58186,0.94486,1.09018,0.000953,0.000953,0.000953
14,140.312,1.21803,0.7609,0.96268,0.72143,0.63293,0.6695,0.34706,1.60211,0.94664,1.09485,0.00092825,0.00092825,0.00092825
15,149.514,1.18871,0.73503,0.95411,0.70543,0.66527,0.68374,0.34899,1.62603,0.94016,1.12413,0.0009035,0.0009035,0.0009035
16,158.742,1.15821,0.71423,0.94615,0.69761,0.68008,0.68533,0.35516,1.58462,0.94362,1.09382,0.00087875,0.00087875,0.00087875
17,167.87,1.14033,0.69845,0.9399,0.7001,0.66892,0.67052,0.34192,1.63346,0.94273,1.10719,0.000854,0.000854,0.000854
18,177.002,1.11027,0.68288,0.92903,0.70227,0.66198,0.6666,0.3409,1.62709,0.9654,1.11387,0.00082925,0.00082925,0.00082925
19,186.693,1.09971,0.67134,0.92774,0.74543,0.66092,0.69049,0.35215,1.63912,0.93607,1.11395,0.0008045,0.0008045,0.0008045
20,196.149,1.07506,0.65455,0.92228,0.70947,0.66551,0.67875,0.34688,1.64,0.95019,1.1164,0.00077975,0.00077975,0.00077975
21,206.136,1.04198,0.63344,0.91343,0.70376,0.6588,0.66798,0.33956,1.64736,0.95285,1.12262,0.000755,0.000755,0.000755
22,216.002,1.01742,0.62276,0.90624,0.72821,0.64443,0.66701,0.34187,1.64539,0.94753,1.1287,0.00073025,0.00073025,0.00073025
23,225.213,1.01445,0.61062,0.9046,0.71757,0.66986,0.67961,0.34598,1.64919,0.93939,1.13157,0.0007055,0.0007055,0.0007055
24,234.782,0.97766,0.59198,0.8974,0.72727,0.64875,0.6732,0.33923,1.66805,0.95107,1.14368,0.00068075,0.00068075,0.00068075
25,244.207,0.95322,0.5763,0.89029,0.71256,0.67267,0.68049,0.34238,1.67019,0.95,1.13815,0.000656,0.000656,0.000656
26,253.521,0.93827,0.57104,0.88674,0.72151,0.64465,0.66455,0.33425,1.66431,0.9729,1.1442,0.00063125,0.00063125,0.00063125
27,263.224,0.91522,0.55511,0.88101,0.70237,0.6723,0.66658,0.33567,1.6679,0.95546,1.14575,0.0006065,0.0006065,0.0006065
28,272.459,0.89155,0.54634,0.87484,0.74039,0.65467,0.67333,0.33677,1.6768,0.96151,1.14249,0.00058175,0.00058175,0.00058175
29,281.828,0.87185,0.53437,0.87131,0.74623,0.63063,0.66334,0.33495,1.67575,0.96839,1.16033,0.000557,0.000557,0.000557
30,291.418,0.85712,0.52837,0.8686,0.70305,0.6358,0.65714,0.33022,1.67873,0.97546,1.16133,0.00053225,0.00053225,0.00053225
31,300.821,0.84987,0.52427,0.86589,0.72079,0.64107,0.65963,0.3298,1.68651,0.98451,1.16878,0.0005075,0.0005075,0.0005075
32,310.24,0.85212,0.52427,0.86489,0.71318,0.64338,0.66197,0.33261,1.67477,0.97204,1.16081,0.00048275,0.00048275,0.00048275
