epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0822,1.89708,1.89514,1.35194,0.57999,0.58958,0.57742,0.30045,1.60873,1.18805,1.11691,0.000411111,0.000411111,0.000411111
2,36.0481,1.582,1.11686,1.13107,0.70082,0.66011,0.70243,0.3793,1.53446,0.97615,1.0779,0.000811388,0.000811388,0.000811388
3,48.6423,1.51609,1.04475,1.10383,0.71232,0.66648,0.70044,0.36839,1.57143,0.94334,1.08485,0.00119516,0.00119516,0.00119516
4,61.0515,1.4497,0.94228,1.0722,0.68821,0.65309,0.67494,0.36446,1.55344,0.92128,1.08153,0.00117575,0.00117575,0.00117575
5,73.2523,1.39844,0.86388,1.04226,0.72372,0.66731,0.705,0.37907,1.5463,0.8844,1.08535,0.001151,0.001151,0.001151
6,85.3002,1.34816,0.80473,1.02351,0.70721,0.69446,0.71642,0.37873,1.55031,0.88728,1.08722,0.00112625,0.00112625,0.00112625
7,97.4649,1.28364,0.75192,1.00245,0.69714,0.67872,0.70145,0.37578,1.54785,0.90296,1.09196,0.0011015,0.0011015,0.0011015
8,109.716,1.21025,0.69675,0.97684,0.70635,0.68605,0.70379,0.38128,1.53285,0.87233,1.08464,0.00107675,0.00107675,0.00107675
9,122.111,1.18217,0.68371,0.96634,0.7215,0.66667,0.70249,0.3699,1.57991,0.8909,1.10129,0.001052,0.001052,0.001052
10,134.323,1.14389,0.65405,0.95377,0.7392,0.66098,0.69262,0.37551,1.53896,0.88219,1.09419,0.00102725,0.00102725,0.00102725
11,146.53,1.1039,0.61915,0.93711,0.76451,0.65831,0.69222,0.36825,1.56975,0.88498,1.10486,0.0010025,0.0010025,0.0010025
12,158.964,1.0435,0.58654,0.92081,0.73785,0.67587,0.70522,0.38251,1.55851,0.85625,1.10049,0.00097775,0.00097775,0.00097775
13,171.133,1.01052,0.56607,0.90833,0.76302,0.66616,0.70942,0.38536,1.54717,0.88206,1.10324,0.000953,0.000953,0.000953
14,183.535,0.98031,0.5469,0.90213,0.70854,0.65272,0.67856,0.35666,1.61248,0.93881,1.12609,0.00092825,0.00092825,0.00092825
15,195.91,0.92944,0.52533,0.88888,0.71938,0.69641,0.70317,0.37479,1.57425,0.8799,1.1267,0.0009035,0.0009035,0.0009035
16,208.313,0.9073,0.50306,0.88359,0.72128,0.67743,0.70101,0.373,1.59485,0.89421,1.13796,0.00087875,0.00087875,0.00087875
17,220.708,0.86541,0.47973,0.87182,0.7093,0.67573,0.68124,0.36064,1.60066,0.89355,1.14416,0.000854,0.000854,0.000854
18,233.001,0.81936,0.46423,0.85984,0.68828,0.66997,0.68172,0.36583,1.58239,0.89886,1.13772,0.00082925,0.00082925,0.00082925
19,245.308,0.80225,0.45559,0.85715,0.68,0.66253,0.68388,0.3584,1.60499,0.9489,1.14965,0.0008045,0.0008045,0.0008045
20,257.632,0.77184,0.43739,0.85065,0.72973,0.67667,0.69381,0.36147,1.62799,0.93107,1.15894,0.00077975,0.00077975,0.00077975
21,270.025,0.73191,0.41928,0.84153,0.74008,0.66926,0.69733,0.3667,1.60298,0.93198,1.15471,0.000755,0.000755,0.000755
22,282.273,0.7121,0.40931,0.83691,0.76508,0.66255,0.69998,0.37246,1.60062,0.89633,1.15059,0.00073025,0.00073025,0.00073025
23,294.437,0.68039,0.39116,0.83003,0.72916,0.69667,0.7006,0.37266,1.60391,0.90939,1.15907,0.0007055,0.0007055,0.0007055
24,306.805,0.65402,0.38122,0.82636,0.71561,0.69366,0.70387,0.37596,1.5946,0.92607,1.16097,0.00068075,0.00068075,0.00068075
25,319.2,0.63713,0.37139,0.82228,0.71515,0.6798,0.69021,0.36469,1.6235,0.94963,1.16852,0.000656,0.000656,0.000656
26,331.327,0.61824,0.36335,0.81893,0.73428,0.6816,0.68829,0.36622,1.60742,0.9205,1.17002,0.00063125,0.00063125,0.00063125
27,343.722,0.58949,0.35051,0.81347,0.71624,0.67923,0.68922,0.36493,1.61495,0.95511,1.17611,0.0006065,0.0006065,0.0006065
28,355.877,0.57247,0.34296,0.81,0.72699,0.68582,0.70109,0.37362,1.60933,0.93995,1.17966,0.00058175,0.00058175,0.00058175
29,368.229,0.54614,0.33268,0.80676,0.74968,0.67094,0.69314,0.36371,1.61572,0.93578,1.18462,0.000557,0.000557,0.000557
