epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.086,1.67996,1.40785,1.33144,0.61613,0.53537,0.62588,0.34232,1.53696,1.01945,1.21884,0.00041573,0.00041573,0.00041573
2,190.908,1.55074,1.10423,1.25679,0.69352,0.63624,0.66016,0.35199,1.55206,0.95375,1.22265,0.000815916,0.000815916,0.000815916
3,281.753,1.50629,1.02344,1.22949,0.73033,0.61158,0.66961,0.35696,1.57756,0.9573,1.20672,0.0011996,0.0011996,0.0011996
4,372.009,1.4532,0.98043,1.19893,0.69749,0.69959,0.71529,0.39418,1.4873,0.85378,1.1808,0.00117575,0.00117575,0.00117575
5,461.829,1.37164,0.87251,1.14993,0.70443,0.68298,0.70223,0.37753,1.5265,0.86627,1.19462,0.001151,0.001151,0.001151
6,551.143,1.34829,0.82749,1.14009,0.73351,0.67854,0.71099,0.39615,1.48794,0.8488,1.17311,0.00112625,0.00112625,0.00112625
7,640.948,1.26815,0.7643,1.10997,0.76292,0.67457,0.72091,0.39734,1.47521,0.84922,1.17524,0.0011015,0.0011015,0.0011015
8,731.151,1.22387,0.72065,1.08868,0.74428,0.70801,0.72841,0.4034,1.48002,0.81394,1.19113,0.00107675,0.00107675,0.00107675
9,821,1.1633,0.66912,1.05495,0.74024,0.70064,0.72248,0.38404,1.53277,0.83033,1.20314,0.001052,0.001052,0.001052
10,910.491,1.11992,0.63713,1.03808,0.75996,0.67911,0.72052,0.38921,1.52004,0.83876,1.21725,0.00102725,0.00102725,0.00102725
11,1000.97,1.06036,0.58756,1.00563,0.71772,0.7147,0.72126,0.38839,1.5039,0.81761,1.21651,0.0010025,0.0010025,0.0010025
12,1090.71,1.004,0.55798,0.98586,0.75013,0.71609,0.73672,0.40321,1.51909,0.80326,1.2371,0.00097775,0.00097775,0.00097775
13,1180.35,0.95074,0.53072,0.96128,0.74283,0.68916,0.71714,0.38738,1.53602,0.8174,1.23009,0.000953,0.000953,0.000953
14,1270.29,0.90857,0.49531,0.94506,0.76714,0.70108,0.7311,0.39139,1.53782,0.83071,1.24896,0.00092825,0.00092825,0.00092825
15,1360.76,0.84638,0.46352,0.92302,0.77398,0.68195,0.72304,0.38832,1.5563,0.8547,1.27365,0.0009035,0.0009035,0.0009035
16,1449.85,0.8165,0.45308,0.91191,0.7114,0.70537,0.71622,0.38206,1.5595,0.85488,1.27836,0.00087875,0.00087875,0.00087875
17,1539.61,0.77135,0.42486,0.89645,0.71981,0.6925,0.70911,0.37976,1.56544,0.86786,1.27606,0.000854,0.000854,0.000854
18,1629.33,0.72453,0.40248,0.88154,0.77218,0.67239,0.70794,0.37411,1.5748,0.87348,1.30105,0.00082925,0.00082925,0.00082925
19,1718.55,0.70299,0.38779,0.87283,0.7719,0.67473,0.71806,0.38795,1.56769,0.86789,1.30565,0.0008045,0.0008045,0.0008045
20,1808.62,0.66627,0.36959,0.86145,0.74432,0.69906,0.72603,0.38932,1.56519,0.87637,1.30323,0.00077975,0.00077975,0.00077975
