Split,Class,mAP50-95,mAP50,Precision,Recall,F1
val,ALL,0.4644,0.8072,0.8055,0.7589,0.7792
val,AMBEL,0.5547,0.8863,0.8562,0.8206,0.838
val,LENCU,0.5793,0.9254,0.8636,0.8998,0.8813
val,LOLSS,0.433,0.8167,0.79,0.7894,0.7897
val,POLAV,0.2242,0.5231,0.6195,0.451,0.522
val,POLPE,0.3925,0.7883,0.8483,0.7343,0.7872
val,RAPRA,0.6028,0.9035,0.8556,0.858,0.8568
test,ALL,0.4657,0.819,0.7987,0.7797,0.7884
test,AMBEL,0.5368,0.8912,0.8374,0.8413,0.8393
test,LENCU,0.6111,0.9431,0.8695,0.9324,0.8999
test,LOLSS,0.3938,0.7756,0.7719,0.7328,0.7519
test,POLAV,0.2383,0.57,0.6128,0.536,0.5718
test,POLPE,0.4511,0.8576,0.8524,0.7996,0.8252
test,RAPRA,0.5633,0.8762,0.8484,0.8358,0.842
