epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.992,1.76712,1.49824,1.46484,0.63203,0.62728,0.648,0.32618,1.6156,1.14365,1.29592,0.000332756,0.000332756,0.000332756
2,254.427,1.65149,1.15216,1.39917,0.71138,0.6626,0.69464,0.36794,1.49494,1.02464,1.25076,0.0006529,0.0006529,0.0006529
3,370.589,1.61061,1.08961,1.39278,0.71052,0.66606,0.71808,0.39146,1.50526,0.99314,1.24777,0.000959845,0.000959845,0.000959845
4,486.215,1.57646,1.03357,1.36417,0.71618,0.65926,0.69559,0.37939,1.47236,0.96043,1.24852,0.0009406,0.0009406,0.0009406
5,602.072,1.52069,0.96523,1.3397,0.75432,0.70736,0.75712,0.41794,1.44642,0.89166,1.21519,0.0009208,0.0009208,0.0009208
6,718.677,1.48203,0.90989,1.30709,0.74838,0.73049,0.77294,0.4407,1.3954,0.84428,1.18721,0.000901,0.000901,0.000901
7,832.711,1.44547,0.86176,1.28147,0.75449,0.71836,0.77001,0.43327,1.41374,0.85085,1.19359,0.0008812,0.0008812,0.0008812
8,950.103,1.39988,0.81448,1.25497,0.76557,0.72937,0.77255,0.43678,1.41806,0.82329,1.19116,0.0008614,0.0008614,0.0008614
9,1066.27,1.359,0.7799,1.23825,0.79527,0.71799,0.78531,0.42998,1.45131,0.8112,1.21251,0.0008416,0.0008416,0.0008416
10,1182.03,1.31899,0.74299,1.21697,0.7843,0.73564,0.79189,0.45036,1.3927,0.80805,1.18754,0.0008218,0.0008218,0.0008218
11,1298.41,1.28965,0.71257,1.19627,0.78582,0.75802,0.80223,0.45715,1.39473,0.77631,1.18631,0.000802,0.000802,0.000802
12,1413.66,1.23433,0.67165,1.1659,0.78669,0.7418,0.79229,0.4474,1.41562,0.7852,1.19598,0.0007822,0.0007822,0.0007822
13,1529.69,1.20797,0.6523,1.15059,0.78731,0.76144,0.79895,0.45018,1.42911,0.77399,1.20644,0.0007624,0.0007624,0.0007624
14,1645.35,1.17101,0.62569,1.13109,0.78708,0.75437,0.79627,0.44654,1.43991,0.774,1.21956,0.0007426,0.0007426,0.0007426
15,1751.23,1.12805,0.59399,1.1028,0.7956,0.757,0.79741,0.44591,1.43125,0.77632,1.21253,0.0007228,0.0007228,0.0007228
16,1866.54,1.09048,0.57446,1.08338,0.80521,0.75957,0.8075,0.46312,1.38886,0.75673,1.19986,0.000703,0.000703,0.000703
17,1982.28,1.0474,0.5462,1.0619,0.79897,0.75592,0.80366,0.45052,1.41859,0.7668,1.21662,0.0006832,0.0006832,0.0006832
18,2097.63,1.01724,0.5293,1.0502,0.78983,0.75989,0.79231,0.42911,1.49585,0.78598,1.2604,0.0006634,0.0006634,0.0006634
19,2213.37,0.98133,0.50886,1.03044,0.80068,0.75964,0.79931,0.45392,1.42592,0.77629,1.23184,0.0006436,0.0006436,0.0006436
