epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90104,3.51104,3.86454,1.65917,0.01,0.01382,0.00508,0.00208,3.3407,3.49239,1.55682,0.00012,0.00012,0.00012
2,7.8246,2.60025,2.50639,1.25,0.75026,0.64055,0.69617,0.31152,1.97096,2.45113,1.0956,0.000254852,0.000254852,0.000254852
3,9.54953,2.04567,1.32862,1.04533,0.68905,0.69739,0.71512,0.25374,2.35635,4.47987,1.30368,0.00038416,0.00038416,0.00038416
4,11.3298,2.1525,1.28159,1.06908,0,0,0,0,nan,nan,nan,0.000507924,0.000507924,0.000507924
5,13.2451,2.07879,1.29116,1.03795,0.03062,0.03072,0.0128,0.00549,nan,nan,nan,0.000626144,0.000626144,0.000626144
6,14.9712,1.9279,1.1731,1.00704,0.50675,0.24731,0.27108,0.11593,nan,nan,nan,0.00073882,0.00073882,0.00073882
7,16.8929,1.9738,1.03834,1.02769,0.00111,0.00154,0.00056,0.00017,nan,nan,nan,0.000845952,0.000845952,0.000845952
8,18.793,1.8307,1.06928,0.97831,0,0,0,0,nan,nan,nan,0.00094754,0.00094754,0.00094754
9,20.6694,1.79465,1.10789,0.97517,0.00333,0.00461,0.00168,0.00056,1.94709,inf,1.10317,0.00104358,0.00104358,0.00104358
10,22.4025,1.93286,0.94847,1.00191,0.04444,0.06144,0.02371,0.00695,2.35534,7.13529,1.28463,0.00113408,0.00113408,0.00113408
11,24.1674,1.97041,1.14972,1.01491,0.46926,0.60061,0.38837,0.15119,2.81765,18.7666,2.01552,0.00121904,0.00121904,0.00121904
12,26.1617,1.80343,0.9804,0.98516,0.37478,0.51767,0.29304,0.12576,nan,nan,nan,0.00129845,0.00129845,0.00129845
13,27.91,1.70603,0.96083,0.96565,0.25,0.34562,0.1682,0.07885,nan,nan,nan,0.00137232,0.00137232,0.00137232
14,29.7345,1.69507,1.01164,0.95941,0.25778,0.35637,0.17492,0.08171,2.8735,inf,2.95544,0.00144064,0.00144064,0.00144064
15,31.4661,1.78125,0.93691,0.97471,0.25889,0.35791,0.17598,0.08083,2.50147,71.8,1.39185,0.0014456,0.0014456,0.0014456
16,33.4217,1.65265,0.80923,0.94926,0.74446,0.66052,0.66746,0.23582,2.34619,1.55527,1.1713,0.001406,0.001406,0.001406
17,35.2953,2.15993,1.05433,1.06148,0.50982,0.62212,0.41982,0.17564,2.09075,2.89888,1.09116,0.0013664,0.0013664,0.0013664
18,37.2452,1.86991,0.90796,0.99183,0.68323,0.70661,0.61553,0.2451,2.12979,1.13094,1.08932,0.0013268,0.0013268,0.0013268
19,38.9668,1.93793,0.88513,0.99709,0.63601,0.64977,0.54226,0.214,2.13802,1.12813,1.07876,0.0012872,0.0012872,0.0012872
20,40.9467,1.72558,0.85864,0.96046,0.79137,0.74581,0.79569,0.34648,1.95367,0.96394,1.03649,0.0012476,0.0012476,0.0012476
21,42.9297,1.69546,0.89546,0.95863,0.7706,0.71723,0.77839,0.329,2.03848,1.06125,1.05261,0.001208,0.001208,0.001208
22,44.6172,1.6153,0.90878,0.94533,0.77018,0.71553,0.77011,0.33349,1.96924,1.13151,1.04167,0.0011684,0.0011684,0.0011684
23,46.434,1.53345,0.9432,0.92474,0.74169,0.34404,0.52432,0.25708,2.89307,4.26412,1.9212,0.0011288,0.0011288,0.0011288
